NAME,SAT25,SAT75,SATAVG,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,rank,state_name,early_career_pay,mid_career_pay,make_world_better_percent,stem_percent,Women,American Indian / Alaska Native,Asian,Black,Hispanic,Native Hawaiian / Pacific Islander,White,Two Or More Races,Unknown,Non-Resident Foreign,Total Minority,total_enrollment
Agnes Scott College,1140,1400,1270,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92,97,7.7,37,19016,59,14,Georgia,46000,83600,57,26,0.993127148,0.001145475,0.04696449,0.329896907,0.089347079,0.002290951,0.325315006,0.059564719,0.026345934,0.119129439,0.529209622,873
Alaska Pacific University,990,1160,1075,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76,72,11.9,2,10922,15,3,Alaska,50300,90000,67,6,0.663212435,0.150259067,0.017271157,0.022452504,0.025906736,0.006908463,0.554404145,0.070811744,0.151986183,0,0.293609672,579
Albertus Magnus College,710,770,740,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90,93,11.5,26,8861,63,18,Connecticut,49700,85900,62,2,0.66516129,0.003870968,0.004516129,0.332258065,0.14,0.001290323,0.417419355,0.012903226,0.080645161,0.007096774,0.49483871,1550
Albion College,730,860,795,Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89,100,13.7,37,11487,73,7,Michigan,52100,99300,44,23,0.497634069,0.002365931,0.018138801,0.037066246,0.036277603,0.000788644,0.78785489,0.026025237,0.062302839,0.029179811,0.120662461,1268
Alma College,800,1050,925,Yes,1267,1080,385,44,73,1306,28,12572,4552,400,400,79,87,15.3,32,9305,68,15,Michigan,48400,89900,52,15,0.547277937,0.006446991,0.01504298,0.032951289,0.036532951,0.000716332,0.832378223,0.025787966,0.040114613,0.010028653,0.11747851,1396
Amherst College,1370,1550,1460,Yes,4302,992,418,83,96,1593,5,19760,5300,660,1598,93,98,8.4,63,21424,100,10,Massachusetts,63800,116500,45,32,0.482700893,0.003348214,0.130580357,0.123883929,0.131138393,0.000558036,0.419084821,0.045200893,0.050223214,0.095982143,0.434709821,1792
Andrews University,1050,1300,1175,Yes,1130,704,322,14,23,1586,326,9996,3090,900,1320,62,66,11.5,18,10908,46,21,Michigan,47600,85000,51,7,0.463136337,0.002925688,0.092159157,0.205383265,0.133996489,0.003803394,0.30514921,0.020772382,0.023112932,0.212697484,0.459040374,3418
Appalachian State University,1130,1300,1215,No,7313,4664,1910,20,63,9940,1035,6806,2540,96,2000,83,96,18.3,14,5854,70,15,North Carolina,46600,82700,47,9,0.553311883,0.002440919,0.014811938,0.032397648,0.038943748,0.00061023,0.856928881,0.024464662,0.017419283,0.011982692,0.113669145,18026
Arkansas Tech University,1020,1200,1110,No,1734,1729,951,12,52,3602,939,3460,2650,450,1000,57,60,19.6,5,4739,48,13,Arkansas,45000,76900,54,7,0.557323779,0.010081653,0.012831195,0.076570572,0.060656557,0.000666556,0.776037327,0.025745709,0,0.037410432,0.186552241,12002
Auburn University,1170,1350,1260,No,7548,6791,3070,25,57,16262,1716,6300,3933,600,1908,85,91,16.7,18,6642,69,1,Alabama,54400,104500,51,31,0.493902439,0.007062365,0.023193887,0.07278481,0.023116703,0,0.804839457,0,0.013931769,0.05507101,0.126157765,25912
Baker University,970,1130,1050,Yes,602,483,206,21,47,958,466,8620,4100,400,2250,58,68,11,21,6136,65,10,Kansas,47800,84200,55,2,0.584714237,0.018261752,0.014541765,0.095028745,0.049712546,0.003719986,0.741968211,0.013189043,0.055461617,0.008116334,0.194453838,2957
Barnard College,1425,1550,1487.5,Yes,2496,1402,531,53,95,2121,69,17926,8124,600,850,83,93,10.3,33,12580,91,19,New York,59200,109800,57,19,0.998056743,0.000388651,0.142635056,0.065293432,0.111154295,0.000388651,0.547609794,0.051690634,0.006218422,0.074621065,0.371550719,2573
Barry University,1100,1200,1150,Yes,990,784,279,18,45,1811,3144,11290,5360,600,1800,76,78,12.6,11,9084,72,24,Florida,47400,84400,66,12,0.656139939,0.003287157,0.021366518,0.245362761,0.238553651,0.001408781,0.232801127,0.010213665,0.180089223,0.066917117,0.520192533,8518
Baylor University,1160,1350,1255,Yes,6075,5349,2367,34,66,9919,484,6450,3920,600,1346,71,76,18.5,38,7503,72,12,Texas,55500,101400,49,16,0.5627498,0.003812335,0.057738425,0.069421386,0.131955974,0.000553403,0.642255426,0.042981,0.009223391,0.042058661,0.306462522,16263
Belmont Abbey College,1028,1206,1117,Yes,632,494,129,17,36,709,131,9000,4850,300,2480,78,85,13.2,10,7550,52,14,North Carolina,46700,82900,49,7,0.570512821,0.002564103,0.009615385,0.250641026,0.01474359,0,0.404487179,0.003205128,0.301282051,0.013461538,0.280769231,1560
Belmont University,1150,1340,1245,Yes,1220,974,481,28,67,1964,623,7800,3664,650,900,61,61,11.1,19,7614,49,17,Tennessee,47300,80900,47,3,0.618166759,0.002208724,0.021673109,0.043898399,0.041413584,0.000966317,0.791551629,0.031888459,0.053837659,0.01256212,0.142048592,7244
Beloit College,1200,1390,1295,Yes,1320,923,284,26,54,1085,81,16304,3616,355,715,87,95,11.1,26,12957,69,17,Wisconsin,47400,85700,59,24,0.580966999,0.003837299,0.024558711,0.046047583,0.083653108,0.002302379,0.697620875,0.016884114,0.02532617,0.099769762,0.177283193,1303
Benedictine College,1100,1350,1225,Yes,632,620,222,14,24,702,501,9550,3850,350,250,64,84,14.1,18,5922,58,3,Kansas,48700,91800,69,13,0.525724977,0.003741815,0.012160898,0.032740879,0.052385407,0.003274088,0.790458372,0.044434051,0.028999065,0.031805426,0.148737138,2138
Bennington College,1030,1070,1050,Yes,519,327,114,25,53,457,2,21700,4100,600,500,35,59,10.1,33,16364,55,6,Vermont,48800,90000,50,5,0.672847682,0.017218543,0.033112583,0.013245033,0.050331126,0.001324503,0.684768212,0.030463576,0.059602649,0.109933775,0.145695364,755
Berry College,1120,1316,1218,Yes,1858,1221,480,37,68,1620,49,8050,3940,350,2375,80,80,16.3,17,10511,63,12,Georgia,44900,84900,44,21,0.613229215,0.000918695,0.011943041,0.042719339,0.061552595,0.001378043,0.829581994,0.028479559,0.014699127,0.008727607,0.146991272,2177
Boston University,1360,1520,1440,Yes,20192,13007,3810,45,80,14971,3113,18420,6810,475,1025,80,81,11.9,16,16836,72,13,Massachusetts,61400,113600,43,25,0.584360987,0.000840807,0.10737419,0.037057798,0.075330095,0.001058794,0.455966617,0.027030394,0.095665172,0.199676134,0.248692078,32112
Bowdoin College,1320,1520,1420,Yes,3356,1019,418,76,100,1490,8,19030,5885,1495,875,93,96,11.2,52,20447,96,2,Maine,61300,112000,54,37,0.500277008,0.001108033,0.063157895,0.048753463,0.126869806,0,0.635457064,0.064819945,0.005540166,0.054293629,0.304709141,1805
Bowling Green State University,1020,1210,1115,No,9251,7333,3076,14,45,13699,1213,7452,3352,600,1700,81,89,21.1,14,6918,67,25,Ohio,47200,87500,45,11,,,,,,,,,,,,
Bradley University,1060,1280,1170,Yes,3767,3414,1061,30,58,4531,643,10870,4440,2000,1522,75,81,14.4,21,7671,85,6,Illinois,55600,104900,46,38,0.504339623,0.001886792,0.027169811,0.046226415,0.053207547,0.000943396,0.661698113,0.013018868,0.122830189,0.073018868,0.14245283,5300
Brandeis University,1370,1530,1450,Yes,4186,2743,740,48,77,2819,62,19380,6750,410,1000,90,97,9.8,24,17150,84,14,Massachusetts,60600,113200,48,29,0.542977292,0.001009251,0.097897393,0.046257359,0.054331371,0.000504626,0.444575273,0.019848612,0.102775442,0.232800673,0.219848612,5945
Brown University,1460,1570,1515,Yes,12586,3239,1462,87,95,5643,349,19528,5926,720,1100,99,100,7.6,39,20440,97,1,Rhode Island,68200,127600,45,43,0.509966235,0.002831936,0.119703736,0.059906328,0.097375014,0.001415968,0.423265439,0.040954144,0.086918636,0.167628799,0.322187126,9181
Bucknell University,1295,1450,1372.5,Yes,6548,3813,862,49,85,3316,31,18550,4750,800,1200,95,97,14.2,36,13675,93,5,Pennsylvania,66700,122900,40,40,0.519591611,0.000275938,0.034768212,0.031456954,0.051600442,0,0.782560706,0.034216336,0.003863135,0.061258278,0.152317881,3624
Butler University,1150,1340,1245,Yes,2362,2037,700,40,68,2607,148,13130,4650,500,1600,77,81,10.9,29,9511,83,7,Indiana,51800,99300,53,9,0.593440594,0.001650165,0.024546205,0.037541254,0.030115512,0,0.826320132,0.018770627,0.032384488,0.028671617,0.112623762,4848
California Polytechnic State University at San Luis Obispo,1240,1430,1335,No,7811,3817,1650,47,73,12911,1404,7380,4877,612,2091,72,81,19.8,13,8453,59,12,California,65600,119500,51,38,0.460616269,0.001585257,0.116120083,0.007034578,0.151094818,0.001981571,0.58590112,0.068611909,0.048845735,0.018824928,0.346428218,20186
Calvin College,920,980,950,Yes,1784,1512,913,29,56,3401,136,10230,3710,400,1210,75,81,14.8,41,7786,81,13,Michigan,50200,91100,54,23,0.553719008,0.004007012,0.04332582,0.023541197,0.032306536,0,0.745805159,0.027798648,0.016779364,0.106436263,0.130979214,3993
Campbell University,1030,1230,1130,Yes,2087,1339,657,20,54,3191,1204,7550,2790,600,500,77,77,21.8,34,3739,63,16,North Carolina,46300,82400,56,8,0.528601869,0.006556302,0.031634158,0.155056548,0.056220292,0.001475168,0.614981151,0.018357646,0.09588592,0.019832814,0.269300115,6101
Carleton College,1408,1550,1479,Yes,2694,1579,489,75,93,1870,12,19292,3957,550,550,81,93,10.4,60,17960,91,1,Minnesota,58800,109900,47,45,0.52795333,0.001458435,0.089450656,0.038405445,0.063198833,0.00097229,0.648031113,0.045211473,0.017501215,0.09577054,0.238697132,2057
Carnegie Mellon University,1480,1560,1520,Yes,8728,5201,1191,60,89,4265,291,17900,5690,450,1250,86,93,9.2,31,24386,74,1,Pennsylvania,75900,136100,45,66,0.379915786,0.000715023,0.164534838,0.031937714,0.045602606,0.000158894,0.297688091,0.026535314,0.049892746,0.382934774,0.269484389,12587
Carroll College,1100,1280,1190,Yes,1160,991,352,19,55,1357,737,12200,3880,480,930,74,81,17.8,25,7666,79,3,Montana,48200,91400,55,25,0.582638889,0.0125,0.014583333,0.007638889,0.049305556,0.002777778,0.786805556,0.015972222,0.094444444,0.015972222,0.102777778,1440
Carthage College,980,1200,1090,Yes,1616,1427,434,20,43,1405,580,13125,3775,500,1300,74,89,15.9,22,7364,62,18,Wisconsin,48900,85400,48,17,0.539687924,0.004070556,0.01119403,0.051899593,0.042740841,0.002374491,0.73880597,0.024084125,0.119402985,0.005427408,0.136363636,2948
Case Western Reserve University,1410,1530,1470,Yes,3877,3156,713,71,93,3051,513,15700,4730,525,1460,95,95,2.9,29,19733,67,1,Ohio,66600,117800,44,37,0.49948937,0.001299786,0.143255037,0.052269984,0.041221799,0.000464209,0.499396528,0.024974468,0.049391886,0.187726302,0.263485285,10771
Catawba College,990,1150,1070,Yes,1083,880,291,13,34,915,80,9270,4100,600,1860,75,82,13.5,27,8425,55,22,North Carolina,42500,78100,58,11,0.531538462,0.009230769,0.011538462,0.203846154,0.036923077,0,0.688461538,0.021538462,0.002307692,0.026153846,0.283076923,1300
Centenary College of Louisiana,1020,1250,1135,Yes,495,434,210,35,55,775,44,8950,3490,600,1900,86,92,11.3,25,9685,66,10,Louisiana,47000,88400,37,26,0.56542811,0.009693053,0.033925687,0.142164782,0.056542811,0.001615509,0.702746365,0.035541195,0,0.017770598,0.279483037,619
Central College,1000,1260,1130,Yes,1283,1113,401,31,65,1355,40,10938,3660,650,600,76,90,13.5,29,8444,67,9,Iowa,49000,88800,55,36,0.521615875,0.003543586,0.010630758,0.018426648,0.031183558,0.001417434,0.881644224,0.009922041,0.030474841,0.01275691,0.075124026,1411
Central Connecticut State University,950,1180,1065,No,4158,2532,902,6,24,6394,3881,5962,4444,500,985,69,73,16.7,4,4900,49,12,Connecticut,53100,93700,45,15,0.501370773,0.001910775,0.03564011,0.101769544,0.112901886,0.000913849,0.677826701,0.024092382,0.028080086,0.016864667,0.277228545,12037
Centre College,1235,1465,1350,Yes,1013,888,288,55,82,943,7,11850,4270,600,900,95,99,11.4,60,13118,74,4,Kentucky,49500,88500,52,22,0.517664023,0,0.033165105,0.046142754,0.023071377,0.001441961,0.799567412,0.030281182,0.004325883,0.062004326,0.134102379,1387
Christian Brothers University,1030,1280,1155,Yes,880,520,224,16,42,1068,364,9300,3260,600,900,81,81,11.1,24,8129,63,4,Tennessee,51500,96500,60,14,0.561487702,0.0029994,0.050389922,0.313137373,0.059388122,0.00059988,0.476904619,0.023395321,0.043791242,0.029394121,0.449910018,1667
Christopher Newport University,1110,1320,1215,No,883,766,428,3,37,2910,1749,7860,4750,525,1889,80,82,21.2,16,4639,48,17,Virginia,50800,87200,55,25,0.574027964,0.002873013,0.023941774,0.079295154,0.049415821,0.000957671,0.754644704,0.048075081,0.038115304,0.002681479,0.204558514,5221
Claremont McKenna College,1420,1530,1475,Yes,1860,767,227,71,93,887,1,17000,6010,500,850,99,99,9.6,52,18443,87,9,California,68500,125400,43,16,0.475830816,0.000755287,0.107250755,0.040785498,0.116314199,0.000755287,0.422205438,0.076283988,0.06570997,0.169939577,0.342145015,1324
Clark University,1218,1403,1310.5,Yes,2887,2059,457,30,61,1928,296,17500,4200,500,950,94,95,10.5,35,11951,79,23,Massachusetts,52600,101400,47,14,0.568507157,0.000876424,0.05229331,0.035349109,0.049371896,0.000584283,0.511831727,0.017236342,0.085013146,0.247443763,0.155711364,3423
Clarkson University,1180,1380,1280,Yes,2174,1953,557,35,68,2332,53,15960,5580,700,1300,95,95,15.8,32,11659,77,8,New York,66400,130100,58,58,0.305706171,0.002581978,0.031500129,0.019881229,0.043893623,0.000258198,0.772527756,0.018848438,0.028143558,0.082365092,0.116963594,3873
Clemson University,1220,1420,1320,No,8065,5257,2301,37,65,11755,770,8116,3610,800,1618,82,88,18,17,7597,73,2,South Carolina,57500,106700,50,39,0.464839639,0.001875829,0.017797502,0.061627854,0.027130896,0.000640527,0.772109622,0.021274649,0.025758338,0.071784783,0.130347257,21857
Coe College,980,1150,1065,Yes,1006,742,275,29,60,1127,205,13925,4390,500,2200,73,86,12.7,32,10141,67,13,Iowa,47200,86900,41,24,0.560584958,0.002089136,0.022980501,0.049442897,0.075905292,0.000696379,0.730501393,0.031337047,0.042479109,0.044568245,0.182451253,1436
Colby College,1400,1530,1465,Yes,2848,1319,456,58,84,1720,35,18930,5590,500,1000,83,94,10.2,41,15954,91,4,Maine,59200,103300,50,25,0.529507309,0.001624256,0.055766107,0.030319437,0.061180292,0,0.600974553,0.053059015,0.090958311,0.106118029,0.201949107,1847
Colgate University,1350,1500,1425,Yes,4856,2492,727,46,75,2649,25,19510,5565,500,750,95,98,10.5,45,15494,93,7,New York,68400,130600,41,26,0.543628809,0.000692521,0.03566482,0.041551247,0.084141274,0.001038781,0.672437673,0.034972299,0.042243767,0.087257618,0.198060942,2888
College of Charleston,1090,1280,1185,No,4772,3140,1265,22,55,6851,1200,6120,3460,666,2316,73,78,17.2,18,4776,51,8,South Carolina,47300,85100,44,20,0.639752095,0.001833101,0.015799581,0.071840084,0.04172486,0.001134777,0.804905726,0.035003492,0.013093575,0.014664804,0.167335894,11456
College of Saint Benedict,1110,1220,1165,Yes,938,864,511,29,62,1715,103,12247,4221,500,600,70,88,13.1,26,8847,72,15,Minnesota,49100,88600,50,18,1,0.006930693,0.057425743,0.023762376,0.048019802,0.001485149,0.810891089,0.005940594,0,0.045544554,0.143564356,2020
College of the Holy Cross,1240,1420,1330,Yes,2994,1691,659,70,95,2675,22,18000,6300,400,900,92,96,11.3,55,12138,95,12,Massachusetts,61800,114600,46,24,0.490132759,0.001794044,0.050592034,0.039468963,0.106207391,0.000358809,0.686401148,0.035163258,0.065662002,0.01435235,0.233584499,2787
College of William and Mary,1300,1500,1400,No,7117,3106,1217,68,88,5186,134,11720,4298,600,800,89,92,12.1,31,9534,93,5,Virginia,59000,108900,42,21,,,,,,,,,,,,
Colorado College,1250,1455,1352.5,Yes,3207,1577,490,56,87,1892,7,17142,4190,450,1200,85,97,11.3,51,14664,84,5,Colorado,53100,97900,48,23,0.53701016,0.004354136,0.045476536,0.023222061,0.0890179,0,0.655055636,0.083696178,0.029995162,0.06918239,0.245766812,2067
Connecticut College,1333,1476,1404.5,Yes,3035,1546,438,42,93,1630,232,18740,6300,600,500,86,95,10.7,40,14773,91,8,Connecticut,57500,100800,36,30,0.617894737,0,0.035263158,0.032631579,0.085789474,0,0.717368421,0.027368421,0.047894737,0.053684211,0.181052632,1900
Cornell College,1155,1405,1280,Yes,1538,1329,383,33,68,1140,10,15248,4323,550,800,71,76,12.2,31,10340,64,6,Iowa,49600,90600,47,22,0.531307551,0.003683241,0.023941068,0.050644567,0.128913444,0.002762431,0.662983425,0.042357274,0.040515654,0.044198895,0.252302026,1086
Creighton University,1130,1370,1250,Yes,2967,2836,876,30,60,3450,644,10628,4372,650,2055,85,90,6.5,32,22906,85,2,Nebraska,53500,95800,56,9,0.572486644,0.004371054,0.090092278,0.040067994,0.057309373,0.003035454,0.723773677,0.031447305,0.026104905,0.02379796,0.226323458,8236
Dartmouth College,1440,1560,1500,Yes,8587,2273,1087,87,99,3918,32,19545,6070,550,1100,95,99,4.7,49,29619,98,1,New Hampshire,71500,130900,44,35,0.471101937,0.016195618,0.123054938,0.054144173,0.070816132,0.001111464,0.471260718,0.038901238,0.071451254,0.153064465,0.304223563,6298
Davidson College,1100,1300,1200,Yes,2373,956,452,77,96,1601,6,17295,5070,600,1011,95,97,12,46,17581,94,3,North Carolina,57300,106900,50,28,0.505649718,0.006214689,0.057627119,0.06440678,0.066101695,0,0.689265537,0.040112994,0.017514124,0.058757062,0.234463277,1770
Delta State University,950,1190,1070,No,967,945,459,15,48,2806,538,4528,1880,500,1200,49,63,17.1,16,5113,58,8,Mississippi,40800,74200,63,5,0.62091865,0.001106807,0.006640841,0.366629773,0.012451577,0.001383509,0.563364693,0.006364139,0.01134477,0.03071389,0.394576646,3614
Denison University,1230,1430,1330,Yes,2762,2279,533,32,60,1835,14,16900,4720,500,600,88,97,11.6,45,12423,81,5,Ohio,54400,104800,45,22,0.576382792,0.000438982,0.036874451,0.069359087,0.100526778,0.000877963,0.665057068,0.035118525,0.019315189,0.072431958,0.243195786,2278
DePauw University,1160,1420,1290,Yes,1994,1656,495,50,80,1983,36,14300,5020,550,950,78,94,11.1,31,11525,82,5,Indiana,56600,101000,47,24,0.54221219,0.002708804,0.033860045,0.056884876,0.034311512,0,0.684875847,0.065011287,0.028442438,0.093905192,0.192776524,2215
Dickinson College,1323,1470,1396.5,Yes,3014,2539,487,31,68,1889,62,18700,5000,595,1250,87,94,11.2,39,13861,87,21,Pennsylvania,55800,100100,46,25,0.580795262,0.000423012,0.023265651,0.041032149,0.060067682,0.000423012,0.735617597,0.033840948,0.019458545,0.085871404,0.159052453,2364
Dickinson State University,923,1063,993,No,434,412,319,10,30,1376,237,4486,2146,600,2000,50,64,16.5,28,4525,46,5,North Dakota,46400,81200,55,8,0.60040568,0.009465855,0.006085193,0.040567951,0.044624746,0.00270453,0.789046653,0.025693036,0.027721433,0.054090602,0.129141312,1479
Dillard University,960,1120,1040,Yes,1998,1376,651,41,88,1539,45,6700,3650,500,2307,52,52,14.1,12,7566,61,17,Louisiana,44700,79800,74,20,0.725833333,0,0,0.923333333,0.005,0,0.003333333,0.0075,0.039166667,0.021666667,0.935833333,1200
Dordt College,880,1200,1040,Yes,604,562,328,25,50,1048,56,9800,2650,450,2800,61,60,12.5,17,7325,87,8,Iowa,51000,89600,57,17,0.460589445,0.002056203,0.008910212,0.015078821,0.008224812,0.070596299,0.723783413,0,0.087731323,0.083618917,0.104866347,1459
Drake University,1190,1410,1300,Yes,2799,2573,839,34,65,3322,726,13420,4770,560,1675,88,93,15,24,9473,77,2,Iowa,52800,99900,49,7,0.587514816,0.001975504,0.039510075,0.03160806,0.032200711,0.00019755,0.811932043,0.01560648,0.011457922,0.055511655,0.12109838,5062
Drew University,850,1040,945,Yes,2153,1580,321,56,84,1192,87,18432,5616,520,660,93,97,10.2,28,14907,83,16,New Jersey,52800,95000,37,16,0.590156176,0.001893043,0.049692381,0.117841931,0.096545196,0.000946522,0.480832939,0.02460956,0.142451491,0.085186938,0.291528632,2113
Duke University,1468,1558,1513,Yes,13789,3893,1583,90,98,6188,53,18590,5950,625,1162,95,96,5,44,27206,97,1,North Carolina,71100,132100,50,26,0.497666498,0.004162462,0.143037336,0.072906155,0.050264884,0.001261352,0.491107467,0.023271948,0.031155399,0.182832997,0.294904137,15856
Earlham College,1100,1340,1220,Yes,1358,1006,274,35,63,1028,13,15036,4056,600,600,90,94,10.6,46,14634,78,13,Indiana,49100,88400,57,31,,,,,,,,,,,,
East Carolina University,1100,1240,1170,No,9274,6362,2435,14,44,13171,1687,7248,3240,500,1700,74,78,13.2,18,9002,58,11,North Carolina,48400,85400,55,11,0.59797899,0.006579187,0.028424994,0.158445713,0.054450947,0.000945077,0.692741085,0.028643088,0.020609938,0.009159972,0.277489004,27511
East Tennessee State University,900,1120,1010,No,3330,2730,1303,15,36,6706,2640,5800,3000,600,2200,73,75,14,9,9825,42,22,Tennessee,43700,77300,57,8,0.579811556,0.002632673,0.016073161,0.059581544,0.020091451,0.000623528,0.829084107,0.023624775,0.014479701,0.033809062,0.12262713,14434
Eastern Connecticut State University,880,940,910,No,2172,1493,564,14,50,2766,1531,5962,4316,650,500,71,76,16.9,14,5719,50,17,Connecticut,49200,87800,43,14,0.529222622,0.003026291,0.02856062,0.065443541,0.091167013,0.001134859,0.693398903,0.025912616,0.080953282,0.010402875,0.21524494,5287
Eckerd College,840,900,870,Yes,1422,1109,366,33,65,1363,23,15360,4080,600,1000,82,89,12.8,26,15003,59,17,Florida,49200,88400,52,25,0.620739318,0.003360538,0.016802688,0.048487758,0.07825252,0.001920307,0.766202592,0.028804609,0.013442151,0.042726836,0.177628421,2083
Emory University,1420,1540,1480,Yes,8506,4168,1236,76,97,5544,192,17600,6000,600,870,97,98,5,28,28457,96,2,Georgia,62000,110800,44,20,0.565305708,0.001760444,0.154445122,0.099803643,0.059178008,0.000541675,0.449251811,0.022885774,0.052542488,0.159591035,0.338614666,14769
Erskine College,920,1150,1035,Yes,659,557,167,47,74,532,35,10485,3840,475,1246,76,80,13.5,47,7527,67,12,South Carolina,43500,78000,57,28,0.435590969,0.003984064,0.007968127,0.166002656,0.029216467,0,0.608233732,0,0.184594954,0,0.207171315,753
Fairfield University,1230,1380,1305,Yes,4784,3346,781,30,66,2984,1037,15000,6200,700,1100,86,90,15.1,30,11220,94,4,Connecticut,62300,116900,41,17,0.601405427,0.000585594,0.022057388,0.026742143,0.06870974,0.000975991,0.698223697,0.013078274,0.103259809,0.066367363,0.132149131,5123
Ferrum College,920,1180,1050,Yes,1339,1107,336,12,36,1051,82,9400,4200,500,1600,53,58,12.5,9,7967,22,25,Virginia,43000,80600,54,6,0.472088215,0.004135079,0.005513439,0.300482426,0.05306685,0.00206754,0.547898001,0.047553411,0.029634735,0.009648518,0.412818746,1451
Florida Institute of Technology,1140,1340,1240,Yes,1947,1580,523,39,74,1863,233,13900,4140,750,1500,90,90,10.6,7,8923,57,3,Florida,58300,105400,53,48,0.330048491,0.00437979,0.027217269,0.083372439,0.05615517,0.002659158,0.376349132,0.015172845,0.083685281,0.351008916,0.188956671,6393
Florida International University,1060,1240,1150,No,3306,2079,1071,42,89,10208,9310,6597,2494,800,3028,81,96,13.9,20,6722,66,13,Florida,49600,90100,51,16,0.559504132,0.000846604,0.028905463,0.120479742,0.629127192,0.001148962,0.114553517,0.02100383,0.010985688,0.072949002,0.801511792,49610
Florida State University,1180,1340,1260,No,11651,8683,3023,50,90,18906,3242,6680,4060,600,1020,80,89,23.1,15,7250,58,8,Florida,50800,92700,49,18,0.549289283,0.002813758,0.024959977,0.081914326,0.159947606,0.001431136,0.641973512,0.025784699,0.01569398,0.045481007,0.296851501,41226
Fordham University,1300,1480,1390,Yes,4200,2874,942,30,55,4740,1646,14235,6965,600,1735,86,97,14.4,14,10864,80,17,New York,58700,112500,38,10,0.584531548,0.0011818,0.076423084,0.062963692,0.123366818,0.000984834,0.54920885,0.02757534,0.033418686,0.124876896,0.292495568,15231
Fort Lewis College,970,1200,1085,No,3440,2823,1123,16,35,3793,486,6198,3320,500,2500,89,97,19.1,6,4362,46,13,Colorado,48300,82600,55,19,0.486942759,0.233975204,0.006330783,0.008177262,0.102347666,0.002110261,0.544711158,0.05987866,0.028488525,0.01398048,0.412819836,3791
Francis Marion University,930,1120,1025,No,1801,1655,819,13,38,3224,436,5840,3138,400,2430,76,76,19.1,8,5039,43,13,South Carolina,42900,77600,58,18,0.702079108,0.002789047,0.011916836,0.450811359,0.014198783,0.000507099,0.482758621,0.009634888,0.011409736,0.015973631,0.489858012,3944
